Reviews,Ratings
"I arrived at 3 PM and the dealership closed at 6 I thought I had left plenty of time to purchase a vehicle they were understaffed. The sales manager assisted me in allowing me to test drive and then had my vehicle appraised while a salesman freed up, I appreciated him taking the initiative. My financing went through in 15 minuets and I signed by 6PM. My salesman stayed and setup my car along with showing me all the options until 7:30PM never once making me feel rushed or like an imposition, I honestly appreciate the customer service they provided.",Positive
"I dropped my car off on a Wednesday morning for a diagnostic with John Salmon. I was told I would receive a call Thursday morning around 10 am. After not receiving that call, I proceeded to call several times over the next several days and after nobody responded, I went to the dealership but no one is there on Saturday. After my second trip up on Monday, one of the service advisers, Jerry, looked into the situation for me. After 10 minutes he came back and said that he doesn't know all the details, but found out that my car had been in an accident 4 days prior. I was in shock. He had no idea why I was not informed and told me the manager, Brian, would be in touch with me. The manager did call the next morning, but left a message without any details and just said to call him back. Which I did an hour later, and was told he left early for the day. He called me the next day, in the morning, and again left a message without any details. I proceeded to call him several times throughout that day without a call back. I left a message asking if he could meet at 4 pm, no response. I went to the dealership at 4 pm where I received a phone call from him at 4:05 saying he was not able to meet because he was leaving and will not be in the next day either. I told him I was there. He came to the service station and very lightly and without detail just said my car was in an accident and that they are going to fix it. All he said it was swiped against another car, needs a new bumper, headlight, and they would fix the alternator for free. I was frustrated and demanded more detail from him as he was trying to rush me out the door to get on his way. I stood my ground and demanded to know more details, asked why I have not been offered a loaner car, and need my car to be fixed so that it doesn't look like it was just in an accident. He agreed, told me the car would be in the shop for another week, and sent me on my way laughing that my car would look better after everything then it did before and blaming the reason I wasn't informed about the accident on John Salmon for being out sick. I was never offered an accident report, never saw any pictures, and when I finally received my car back it had over spray all over the engine. 2.5 weeks in the shop when it was dropped off for a diagnostic. 3 trips to the dealership and lots of phone calls just trying to find out what was going on with my car. 7 days to corner the manager and find out what happened and when I'll get my car back. 2.5 weeks in the shop. Zero respect from the manager and no accident or repair reports for my records. I will never go back there and deal with Brian, the Cadillac service manager, again. Nor will anyone I have told my story to. Extremely unprofessional and disgusting the way that place handles business. ***TL;DR: Dropped my car off for a diagnostic. They wrecked it. Didn't tell me for 6 days and ignored all my messages. I had to corner the manager, Brian, in the service station and demand to know what happened, when I'll get my car back, and a loaner car since they did not offer up either. 2.5 weeks to get my car back and had over spray all over it since they had to replace the bumper and headlights. This place is awful.***",Negative
My parents have been buying cars off of Donna Dunnivan for over a decade and have always been satisfied. I just got my first new car courtesy of Donna and I couldn't have been more pleased with the transaction! Things went very smoothly and she walked me through the set up even after Cochran has closed up the showrooms. She went above and beyond to get me my new vehicle that night and I have nothing but good things to say about the sale. I'm sure I'll be back to see her for my next one!,Positive
"I recently bought another car from Donna Dunnivan at #1 Cochran, and I can't rave enough about the wonderful service she provided me yet again! DJ, as she is fondly called, always goes the extra mile to get her customers every answer needed in purchasing a car. I had the same experience in 2005 when I bought my Saab from her. Her attention to the service of her customers truly makes her an invaluable and an incredible car sales person! I used to dread the experience of buying cars before meeting DJ. I no longer feel that way with Donna Dunnivan at #1 Cochran. I refer many to her to buy cars, and they always come back to me sharing similar experiences. I will continue to buy cars from her for a long time to come!!",Positive
"I had to schedule an appointment due to the airbag recall. I used the website, which was straight forward. I dropped off the car at 8am and I requested that my car be fixed by 1pm that day. When I called at 1pm to check the status, the car was ready. It was nice to know they were able to keep their promised.",Positive
"Leslie, Your and your team should review my correspondence with your dealership. You missed, and admittedly I didn't clearly elaborate on in my review, one of the key failures on Cochran's part. Dodging my review by misplacing blame on me being in Japan was a nice touch. That being said, my being in Japan was largely irrelevant. I made it abundantly clear, several times, from the very first time I made contact, that I COULD NOT BE REACHED BY PHONE. I believe I mentioned this at least three times in written messages, and twice by phone (I was able to dial out using Skype). Despite this, one of your salesman, Bruce Auth, tried twice to call my phone but never reached out by email until the 6th day. My request for the build sheet was not even something that could be relayed by phone. So why was he trying to call anyway? I also requested a rough trade in value for my Escalade, which I provided a ridiculously in depth description of. I never received that.",Negative
"We called to ask if they had any red Escalades because we were ready to buy that day. We didn't want to wait because our other vehicle had broken down beyond reasonable repair. They said yes so we made the 30 min trip to Monroeville. We get there and they try to show us other vehicles. After about 10 minutes, we were told they didn't have any red Escalades and that it'd have to be ordered. We walked out. Wasted an hour of driving for this crap dealership and service.",Negative
Update on my review. Scott the initial salesperson has been in contact with me and will rectify this situation! I recommend #1 Cochran for any future auto needs,Positive
"If you're planning on buying a Cadillac, See Lee Plimpton. I just signed the paperwork for my second Cadillac from Lee. I plan on always buying my vehicles from him.",Positive
Such a great experience! The staff were very nice and helped me out a lot with a reasonable price. I definitely recommend going to 1st choice transmissions! Fast and reliable!,Positive
"Absolutely wonderful service and best place to get your car fixed. The owner Al, is a truly genuinely good person. He's not a scam artist like a lot of other mechanics. Bring your car here and you will not be disappointed, I promise. I will only come here. I would recommend this business to everyone in need of repairs. The owner truly cares about his business and takes pride in it, he personally ensures that each car is properly taken care of. Outstanding service!",Positive
"Al Lake, the owner, is first rate. He has owned this place for 20 years and been in the business for 34 years. He knows transmissions. I first called the dealer and the quote I got for my Transmission service was $399, typical dealer price. Al's price was less than half. But more importantly I feel he gave it a personal touch of somebody who cared. It was the first time I've used 1st Choice Transmission and I will be sure to use him whenever I have a Transmission problem. 5 stars for sure.",Positive
This shop has been great to work with ... they went over and beyond to service my car .. after researching other places 1st choice had the best prices ... I believe the owners name is Al and he really strives to make his customers happy ... very happy .... this will be my new shop ..,Positive
"I had an emergency with my 2005 Jeep Liberty 4 wheel drive. It died on an exit ramp on the 215. I called my mechanic friend & got a referral to this place. I knew it was a transmission problem because it wouldn't get into 1st, 2nd or Drive gears. I spoke to Al & he told me to call a number to get my car towed to his garage & he would check out my Jeep. The towing company arrived a while later & we got to the garage. Al explained to me that he had to have his mechanic take apart my transmission after I explained what i had done prior to that day & what the check engine lights told him. There were about 9 different codes so we both knew that there was extensive damage. Worse case scenario would be a rebuilt transmission or there could be an easy fix. He couldn't give me a approximate cost because he needed to take apart my transmission. Al said that he would try to cut costs where he could by charging less for his hourly fee or if he could find me a used transmission that worked just as good as a rebuilt one he would see about that. But, because my car had 62k miles & was a car that Jeep no longer made I knew that wasn't going to be easy. Al also explained that his company rebuilds the transmissions in house so that would save me money too. He was also nice enough to drive me to get a rental car at Budget. A day later we talked & he gave me the bad news. It was as we feared. There was extensive damage done to my transmission. Metal had gone throughout it & it needed to be rebuilt. He called around & the only used transmission was one that had 90k miles on it. So, it was a better option to rebuild it because it would be like brand new. He also told me that when they tried to start my car, my battery had no charge. So he would check that out too & either replace or fix the problem. I put down a $500 deposit. And they started on my car with The end date being Thursday. Al called me Thursday & told me that he had a problem. Some of the parts that were needed for my car haven't arrived so it would be either Friday or Saturday at the latest for my car to be repaired. I was a bit disappointed but, It wasn't his fault, stuff happens. He kept me updated & on Saturday Him & the mechanic worked on my car all day till it was done. They usually stay open till noon but worked later to make sure I could get the car back. Again, Al offered to pick me up at the rental car place for free. He discounted the work for $500 & put in a new battery. This guy is such a stand up guy, very honest & has a positive attitude. His customer service is exemplary. I would totally recommend him as a mechanic. In a world where auto mechanic shops are such rip off operations, this place is a breath of fresh air.",Positive
Thank you Al again for the excellent service and very low price to replace my radiator. Can't say enough how trustworthy this company is for a mechanical work.,Positive
Al is a thief. Most mechanics charge a diagnostic fee so if you don't like the quote you can pay the 100 dollars and go somewhere else. Took a 500 deposit without looking at the car. Then he kept the car for 4 days when he said he would look at it that day. Then he up charged 800 more. We paid him and the clutch which was the problem was never fixed. Don't us this guy! If you need a mechanic please don't use Al.,Negative
"I was glad for 7-11, needing hydration for me and the bike it provided much needed fuel for both of us. This corner store met all my needs and went above and beyond what I expected from the local corner store. In fact it has that small space feel, such as the neighborhood store with exceptional customer service and a pleasant customer experience too! First off stopped in for gasoline for the motorcycle, since it was indicating that fuel was required. Decided to pay at the pump since so used to this. The paying at the pump went smooth and filled up with no issues. Then when done fueling the bike went inside to get some much needed fuel for the human driver. With our extreme hot temps here in Vegas the water was where I headed first. The selection of water was well stocked and there were various flavors and varieties too. I decided to go with Fiji water although it is a little more than other water it tastes so great. The air conditioning inside the store felt oh so great as well. The check out process went nice and smooth. The cashier was very busy and handled all the customers with the same great smile and service. When I reached the counter to pay the store associate made me feel welcome and as we continued the check out dance it went smooth. My service was very pleasant and cannot wait until my next visit. Then was off to enjoy my ice cold water under the awning feeling cooled off got on the bike and headed off into the sunset.",Positive
Super friendly service I was greeted by Brittany in the most Pleasant way inform me about their special for the application free Gatorade super I might have another favor to 7-Eleven near to my house,Positive
"I'm always in here and really like the service so I thought I'd give them a yelp! Super convenient ""hence the name"" and almost always an easy in and out situation. The gas pumps can get backed up during peak hours of the day. I would try to avoid that.",Positive
Manager Roxanne way cool. Thank u for address my concern with ur employee so I wouldn't have to call the 800 number not the owners Your amazing and always kind. Best,Positive
"Great service at this locations. The morning guys are cool as hell, and there is always coffee ready to go. Working at 5am sucks, so it's nice to start the day visiting this location.",Positive
"This is always my last stop before work to top of gas and get a coffee. The staff is great. There's never a long wait at the cashier's area. My only complaint is that they no longer sell egg rolls. They always have great specials on the food. You can get 3 for 3.33 on their grill items. The food is actually pretty good and even of you didn't see what you want already heated up, the staff will still make it for you. I only reduce the stars by a point because the price of certain items (such as ice cream pints) is a totally bad deal. I don't like knowing I'm paying twice the price, but sometimes it's obvious. I also question the freshness of certain items due to the price no one will buy it for. Gah, come here for coffee and smiles from staff. Pay more for convenience.",Positive
"Good gas pricing, but there are only a few pumps and none of them print receipts at the pump, which means you have to walk inside everytime. We had 2 cars at 2 different pumps and neither of them printed a receipt or even tried to. I just hate it when you have to go in and wait in line just to get a receipt...unless they had a separate line just to print receipts!",Positive
